Property Name,Address,Phone Number,Website,Property Mgmt Company,Mgmt Phone,Mgmt Email,Mgmt Address,Leasing Agent,Agent Phone,Agent Email,Agent Address,Agent Website
Atlantic Marine Warehouse (Transflo),"2351 Tremont Rd, Savannah, GA 31405",(912) 421-3386,altmwc.com,Atlantic Marine Warehouse Co.,(912) 257-4271,jwestberry@peeplesind.com,"2495 Tremont Rd, Savannah, GA 31405",Jackson Westberry (AMWC),(912) 644-3386,jwestberry@peeplesind.com,"2495 Tremont Rd, Savannah, GA 31405",altmwc.com
Cycle Up Logistics,"300 Telfair Rd, Savannah, GA 31415",(912) 335-2869,cycleuplogistics.com,CenterPoint Properties Trust,(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Suite 704, Saddle Brook, NJ",David Nenner (CenterPoint Properties),(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Saddle Brook, NJ",centerpoint.com
US Port Services,"320 Telfair Rd, Savannah, GA 31415",(954) 895-0316,N/A,CenterPoint Properties Trust,(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Saddle Brook, NJ",David Nenner (CenterPoint Properties),(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Saddle Brook, NJ",centerpoint.com
FNS Warehouse Office,"53 Sonny Perdue Dr, Garden City, GA 31408",(912) 965-0500,N/A,CenterPoint Properties Trust,(201) 221-1918,dnenner@centerpoint.com,"1808 Swift Dr, Suite A, Oak Brook, IL 60523",David Nenner (CenterPoint Properties),(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Saddle Brook, NJ",centerpoint.com
Coastal Logistics Group,"50 Sonny Perdue Dr, Garden City, GA 31408",(912) 964-0707,coastalligistics.com,CenterPoint Properties Trust,(201) 221-1918,dnenner@centerpoint.com,"1808 Swift Dr, Suite A, Oak Brook, IL 60523",David Nenner (CenterPoint Properties),(201) 221-1918,dnenner@centerpoint.com,"250 Pehle Ave, Saddle Brook, NJ",centerpoint.com
Judge Warehouse,"400 Logistics Way, Port Wentworth, GA 31407",(912) 964-9044,N/A,The Judge Organization,(912) 964-9044,N/A,"201 Bay Ave, Elizabeth, NJ 07201",N/A (fully occupied),N/A,N/A,N/A,N/A
Judge/Tricam,"980 Bourne Ave, Savannah, GA 31408",(912) 963-2077,internationalpaper.com,"Judge Warehousing, LLC",(912) 964-9044,N/A,"201 Bay Ave, Elizabeth, NJ 07201",David Sink (Colliers International),(912) 662-8010,david.sink@colliers.com,"545 E York St, Savannah, GA 31401",colliers.com
East Coast Logistics,"6030 Commerce Blvd, Garden City, GA 31408",(912) 964-0994,eastcoast-logistics.com,Brookfield Properties,N/A,Via website,"250 Vesey Street, New York, NY 10281",Cushman & Wakefield (Gilbert & Ezelle),(912) 236-8992,Via website,"820 Abercorn St, Savannah, GA 31401",gilbertezelle.com
1 Birkenhead Rd,"1 Birkenhead Rd, Port Wentworth, GA 31407",(912) 964-0399,dsicompanies.com,DSI Logistics,(912) 964-0399,N/A,"1 Birkenhead Rd, Port Wentworth, GA 31407",N/A (Owner-operated),N/A,N/A,N/A,dsicompanies.com
"McCarthy, Inc.","3100 Ogeechee Rd, Savannah, GA 31405",(912) 236-1461,mccarthyinc.com,"McCarthy, Inc.",(912) 236-4461,bids@mccarthyinc.com,"3100 Ogeechee Rd, Savannah, GA 31405",N/A (Owner-occupied),N/A,N/A,N/A,mccarthyinc.com
Amazon Fulfillment Center SAV4,"1500 N Godley Dr, Pooler, GA 31322",N/A,amazon.com,"Lincoln Property Company (Property Manager)​lpc.com
​lpc.com",(404) 266-7600​midtownatl.com,N/A,"3405 Piedmont Rd NE, Suite 100, Atlanta, GA 30305​midtownatl.com",N/A (fully occupied by Amazon),N/A,N/A,N/A,N/A
Atlantic Marine Warehouse Company,"2495 Tremont Rd, Savannah, GA 31405​buzzfile.com
​buzzfile.com","(912) 234-5110​peeplesind.com
​peeplesind.com",atlmwc.com​buzzfile.com,"Peeples Industries, Inc. (Facility Owner/Manager)​peeplesind.com
​peeplesind.com",(912) 644-3386​peeplesind.com,jwestberry@peeplesind.com​peeplesind.com,"2495 Tremont Rd, Savannah, GA 31405​peeplesind.com
​peeplesind.com",N/A (owner-managed),N/A,N/A,N/A,N/A
Whiplash (Port Logistics Group),"47 Sonny Perdue Dr, Garden City, GA 31408​mapquest.com","(912) 436-3887​mapquest.com
​mapquest.com",whiplash.com​dnb.com,CenterPoint Properties (Owner/Manager)​centerpoint.com,(201) 221-1918​centerpoint.com,dnenner@centerpoint.com​centerpoint.com,"1808 Swift Dr, Suite A, Oak Brook, IL 60523​centerpoint.com",N/A (100% leased by Whiplash),N/A,N/A,N/A,N/A
"East Coast Logistics, Inc.","101 Coleman Blvd, Ste H, Savannah, GA 31408​rebusinessonline.com
​rebusinessonline.com","(912) 748-8762​mapquest.com
​mapquest.com",eastcoast-logistics.com​mapquest.com,"Denholtz Properties (Owner)​rebusinessonline.com
​rebusinessonline.com",N/A (handled via Colliers),N/A,"116 Chestnut St, Suite 102, Red Bank, NJ 07701​denholtz.com
​denholtz.com",David Sink (Colliers International)​rebusinessonline.com,(912) 662-8010​interstatewestsavannah.com,david.sink@colliers.com​interstatewestsavannah.com,"545 E York St, Savannah, GA 31401​interstatewestsavannah.com
​interstatewestsavannah.com",colliers.com
Lansing Building Products,"5240 Old Louisville Rd, Building 42, Pooler, GA 31322​lansingbp.com
​lansingbp.com","(912) 748-4962​database.hhahba.com
​database.hhahba.com","lansingbp.com​database.hhahba.com
​database.hhahba.com","Warehouse Rentals, LLC (Bassford Companies)​georgia.org
​warehouserentals.net",(229) 242-5977​warehouserentals.net,property@warehouserentals.net​warehouserentals.net,"1621 Clay Rd, Valdosta, GA 31601​ecorp.sos.ga.gov
​ecorp.sos.ga.gov",N/A (leased by owner directly),N/A,N/A,N/A,N/A
Belfast Logistics,"2600 Belfast Keller Rd, Richmond Hill, GA 31324​cbre.com",N/A,N/A,Lincoln Property Company​lpc.com,404-266-7600​lpc.com,N/A,"3340 Peachtree Rd NE, Suite 2550, Atlanta, GA 30326​lpc.com",Danny Chase (Colliers)​clementine-emu-r55m.squarespace.com,(912) 662-8012​clementine-emu-r55m.squarespace.com,danny.chase@colliers.com​clementine-emu-r55m.squarespace.com,"545 E. York St, Savannah, GA 31401​clementine-emu-r55m.squarespace.com",colliers.com/savannah​clementine-emu-r55m.squarespace.com
EPL Georgia,"300 Monahan Dr, Bloomingdale, GA 31302​tradeatlas.com",(912) 527-1607​marklines.com,edscha.com/en​marklines.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Judge Warehouse,"400 Logistics Way, Port Wentworth, GA 31407​chamberofcommerce.com",(912) 298-0100​thejudgeorg.com,thejudgeorg.com​thejudgeorg.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stop N Stor,"1010 S. H. Morgan Pkwy, Pooler, GA 31322​stopnstorstorage.com",(912) 417-3700​stopnstorstorage.com,stopnstorstorage.com​stopnstorstorage.com,Stop N Stor Self Storage​members.poolerchamber.com,(912) 386-0500​members.poolerchamber.com,N/A,"9100 White Bluff Rd, Suite 503, Savannah, GA 31406​members.poolerchamber.com",N/A,N/A,N/A,N/A,N/A
KDC GA Corp,"246 Grange Rd, Savannah, GA 31407​zillow.com",(516) 621-9779​dnb.com,kissusa.com​kissusa.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Schneider Logistics Inc.,"250 Grange Rd, Port Wentworth, GA 31407​yellowpages.com",(912) 965-2022​yellowpages.com,www.schneider.com&#8203;:contentReference[oaicite:2]{index=2},"Prologis​prologis.com
 (Owner)",(404) 760-7200​legal-services.cmac.ws,chanavich@prologis.com​prologis.getbynder.com,"3475 Piedmont Rd NE, Suite 650, Atlanta, GA 30305​prologis.getbynder.com",Stephen D. Ezelle​propertyshark.com,(912) 441-3083​gitcsavannah.com,sezelle@gilbertezelle.com​gitcsavannah.com,"820 Abercorn St, Savannah, GA 31401​gilbertezelle.com",www.gilbertezelle.com&#8203;:contentReference[oaicite:11]{index=11}
DIRTT Environmental Solutions,"155 Knowlton Way, Savannah, GA 31407​dirtt.com",(912) 966-9117​dirtt.com,www.dirtt.com&#8203;:contentReference[oaicite:14]{index=14},"SH7‐Savannah, LLC (HOOPP Realty Inc.)​sec.gov
 (Landlord)",N/A,N/A,"6600 France Ave S, Suite 550, Minneapolis, MN 55435​ecorp.sos.ga.gov",N/A,N/A,N/A,N/A,N/A
"Main Ocean Services, LLC","200 Logistics Way, Port Wentworth, GA 31407​mainocean.com",(912) 712-0131​mainocean.com,www.mainocean.com&#8203;:contentReference[oaicite:19]{index=19},N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walmart DC 7086,"163 Portside Ct, Savannah, GA 31407​mapquest.com",(912) 871-4000​mapquest.com,www.walmart.com&#8203;:contentReference[oaicite:22]{index=22},"Savannah Economic Dev. Authority​city-data.com
 (Owner)",(912) 447-8450​seda.org,moreinfo@seda.org​seda.org,"906 Drayton St, Savannah, GA 31401​seda.org",N/A,N/A,N/A,N/A,N/A
NFI Cal Cartage,"101 Little Hearst Pkwy, Port Wentworth, GA 31407​studylib.net",(912) 964-5603​studylib.net,www.nfiindustries.com&#8203;:contentReference[oaicite:29]{index=29},Georgia Ports Authority (Owner)​weixuan006.jdzj.com,(912) 963-5526​gaports.com,csv@gaports.com​gaports.com,"2 Main St, Garden City, GA 31408​gaports.com",N/A,N/A,N/A,N/A,N/A
Shaw Industries – Plant QM (Shipping & Receiving),"590 North Port Pkwy, Port Wentworth, GA 31407​thenetleasegroup.com",(912) 966-6946​mapquest.com,shawinc.com​mapquest.com,Monmouth Real Estate Investment Corp. (Owner)​thenetleasegroup.com,(732) 577-9996​content.edgar-online.com,mreic@mreic.com​globenewswire.com,"3499 Route 9 N, Suite 3-D, Freehold, NJ 07728​content.edgar-online.com","N/A (Single-tenant, fully leased)",N/A,N/A,N/A,N/A
“Heidi’s” Warehouse,"Trade Center Pkwy, Rincon, GA 31326",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Supply Chain Management, LLC (Warehouse)","1601 Old Augusta Rd S, Rincon, GA 31326​tia.officialbuyersguide.net",(912) 443-4008​tia.officialbuyersguide.net,scmllc.net​tia.officialbuyersguide.net,Owner-Occupied (Self-Managed),N/A,N/A,N/A,N/A (Owner uses entire facility),N/A,N/A,N/A,N/A
Aertssen Logistics USA Inc. (Facility),"1004 Gateway Pkwy, Rincon, GA 31326​commercialsearch.com",(912) 704-8998​aertssenlogistics.com,aertssenlogistics.com​aertssenlogistics.com,"Walton Street Capital, LLC (Owner)​commercialsearch.com",(312) 915-2800​waltonst.com,info@waltonst.com​waltonst.com,"900 N Michigan Ave, Suite 1900, Chicago, IL 60611​waltonst.com","Cliff Dales, SIOR (Colliers Int’l)​commercialsearch.com",(912) 662-8009​savannahportsideinternationalpark.com,cliff.dales@colliers.com​savannahportsideinternationalpark.com,"545 E York St, Savannah, GA 31401​savannahchamber.com",colliers.com/savannah​savannahchamber.com
Savannah Gateway Industrial Hub (SGIH) (Industrial Park),"McCall Rd, Rincon, GA 31326​effinghamindustry.com",(912) 392-3000​effinghamindustry.com,savannahgatewayindustrialhub.com,Joint Venture: Effingham County IDA & Broe Real Estate Group​commercialsearch.com,(912) 392-3000​effinghamindustry.com,N/A,"777 Old Augusta Rd, Rincon, GA 31326​effinghamindustry.com","Cliff Dales, SIOR (Colliers Int’l)​commercialsearch.com",(912) 662-8009​savannahportsideinternationalpark.com,cliff.dales@colliers.com​savannahportsideinternationalpark.com,"545 E York St, Savannah, GA 31401​savannahchamber.com",colliers.com/savannah​savannahchamber.com
Averitt Express,"301 International Trade Pkwy, Savannah, GA 31407​guide.in.ua",800-283-7488​guide.in.ua,averitt.com​guide.in.ua,"N/A (Owner-occupied by Averitt Express​chesterfieldllc.com
)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Warehouse Home Depot,"597 Northport Pkwy, Port Wentworth, GA 31407​yellowpages.com",N/A,homedepot.com​yellowpages.com,TPA Group​lee-associates.com,770-436-3400​tpa-grp.com,info@tpa-grp.com​tpa-grp.com,"1776 Peachtree St NW, Suite 100, Atlanta, GA 30309​tpa-grp.com",N/A,N/A,N/A,N/A,N/A
**GEODIS,Contract Logistics**,"503 Morgan Lakes Industrial Blvd #100, Savannah, GA 31407​waze.com",912-348-6408​waze.com,geodis.com​waze.com,McCraney Property Company​mccraneyproperty.com,561-478-4300​mccraneyproperty.com,N/A,"2257 Vista Parkway #15, West Palm Beach, FL 33411​mccraneyproperty.com","William Lattimore, SIOR (CBRE)​mccraneyproperty.com",912-596-7019​mccraneyproperty.com,william.lattimore@cbre.com​mccraneyproperty.com,"144 Habersham St, Savannah, GA 31401​savannahchamber.com"
Kyungshin America Corp.,"1004 Gateway Pkwy, Rincon, GA 31326​commercialsearch.com",N/A,N/A,"N/A (Savannah Gateway Industrial Hub owned by Broe/OmniTRAX​commercialsearch.com
; sold to investor Walton Street Capital​commercialsearch.com
)",N/A,N/A,N/A,"Cliff Dales, SIOR (Colliers)​listingsprod.blob.core.windows.net",912-662-8009​listingsprod.blob.core.windows.net,cliff.dales@colliers.com​listingsprod.blob.core.windows.net,"545 E York St, Savannah, GA 31401​savannahportsideinternationalpark.com",colliers.com​savannahportsideinternationalpark.com
Lowe’s BDC,"2020 Trade Center Blvd Building 3A, Suite 100, Rincon, GA 31326​gitcsavannah.com",N/A,lowes.com,"N/A (100% leased to Lowe’s; developed by Stonemont/Davis JV​thedaviscompanies.com
)",N/A,N/A,N/A,"Stephen Ezelle, SIOR, CCIM (C&W/Gilbert & Ezelle)​gitcsavannah.com",912-441-3083​gitcsavannah.com,sezelle@gilbertezelle.com​gitcsavannah.com,"820 Abercorn St, Savannah, GA 31401​gilbertezelle.com",gilbertezelle.com​neverbounce.com
Shaw Industries – Plant QM (Shipping & Receiving),"590 North Port Pkwy, Port Wentworth, GA 31407​commercialsearch.com",(912) 966-6946​mapquest.com,shawinc.com​mapquest.com,"Monmouth Real Estate Investment Corp.​philadelphia.citybuzz.co
 (Owner)",(732) 577-9996​marketscreener.com,N/A,"101 Crawfords Corner Rd, Suite 1405, Holmdel, NJ 07733​marketscreener.com",N/A,N/A,N/A,N/A,N/A
“Heidi’s” (GITC),"Trade Center Pkwy, Rincon, GA 31326",N/A,N/A,"Chesterfield, LLC (Developer)​chesterfieldllc.com
​chesterfieldllc.com",(912) 721-8662​chesterfieldllc.com,info@chesterfieldllc.com​chesterfieldllc.com,"100 Bull St, Suite 200, Savannah, GA 31401​chesterfieldllc.com",N/A,N/A,N/A,N/A,N/A
"Supply Chain Management, LLC","1601 Old Augusta Rd S, Rincon, GA 31326​tia.officialbuyersguide.net",(912) 443-4008​tia.officialbuyersguide.net,www.scmllc.net&#8203;:contentReference[oaicite:13]{index=13},"Supply Chain Management, LLC (Owner-Occupied)",(912) 443-4008​tia.officialbuyersguide.net,N/A,"1601 Old Augusta Rd S, Rincon, GA 31326​tia.officialbuyersguide.net",N/A,N/A,N/A,N/A,N/A
Aertssen Logistics USA Inc.,"1004 Gateway Pkwy, Rincon, GA 31326​effinghamindustry.com",(912) 704-8998​aertssenlogistics.com,aertssenlogistics.com​aertssenlogistics.com,Broe Real Estate Group (Savannah Gateway Industrial Hub)​omnitrax.com,(912) 721-8670​omnitrax.com,srogers@broerealestate.com​omnitrax.com,"252 Clayton St, 4th Floor, Denver, CO 80206​omnitrax.com",N/A,N/A,N/A,N/A,N/A
Savannah Gateway Industrial Hub (SGIH),"4575 McCall Rd, Rincon, GA 31326​omnitrax.com",(877) 276-3777​omnitrax.com,N/A,Broe Real Estate Group / OmniTRAX (Developer)​omnitrax.com,(877) 276-3777​omnitrax.com,N/A,"4575 McCall Rd, Rincon, GA 31326​omnitrax.com","David Sink, SIOR​savannahgatewayindustrialhub.com",(912) 662-8010​savannahgatewayindustrialhub.com,david.sink@colliers.com​savannahgatewayindustrialhub.com,"545 E York St, Savannah, GA 31401​savannahchamber.com",colliers.com/Savannah​savannahchamber.com
Mingledorff’s – Savannah,"103 Central Jct Blvd, Savannah, GA 31405",(912) 232-1228​yellowpages.com,mingledorffs.com​yellowpages.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Tire Distributors,"1402 Mills B Lane Blvd, Savannah, GA 31405",(912) 234-9858​wholesale-tire-stores.cmac.ws,atd-us.com​wholesale-tire-stores.cmac.ws,"G. Holmes Bell Properties, LLC​city-data.com",(912) 354-4626​husseygaybell.com,N/A,"329 Commercial Dr, Suite 200, Savannah, GA 31406​ecorp.sos.ga.gov",N/A,N/A,N/A,N/A,N/A
National Distributing Co Inc,"1414 Mills B Lane Blvd, Savannah, GA 31405",(912) 233-2201​rndc-usa.com,rndc-usa.com​westernspirits.com,N/A (Owner-occupied by NDC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WIN.IT America Inc – USGA,"301 Cypress Mdw Dr #100, Pooler, GA 31322",1-855-GO-WINIT​winitamerica.com,winitamerica.com​dnb.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Mitsubishi Power Americas, Inc.","1000 Pine Meadow Dr, Pooler, GA 31322",(912) 629-7187​savannahchamber.com,power.mhi.com/regions/amer/​savannahchamber.com,N/A (Owner-occupied by Mitsubishi),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Downix Gaming Chair Warehouse,"1315 Dean Forest Rd, Savannah, GA 31405​dowinx.com",(912) 349-2830​savannahga.gov,dowinx.com​dowinx.com,H&M Property Management LLC (Craig Hatfield)​savannahga.gov,(706) 489-0839​savannahga.gov,craig@czsgrp.com​savannahga.gov,"2100 Torrence Chapel Rd, Cornelius, NC 28031​savannahga.gov","William Lattimore (CBRE)​cbre.com
​cbre.com",(912) 228-3528​cbre.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton St, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.com​savannahchamber.com
Sunbelt Rentals Flooring Solutions,"25 Telfair Pl, Savannah, GA 31415​mapquest.com","(912) 712-7531​mapquest.com
​mapquest.com","sunbeltrentals.com​mapquest.com
​mapquest.com",Colliers International (Savannah office)​savannahchamber.com,(912) 233-7111​savannahchamber.com,N/A,"545 E York St, Savannah, GA 31401​savannahchamber.com","David Sink, SIOR & Zachary Zakas (Colliers)​commercialcafe.com
​commercialcafe.com","(912) 662-8010 / (912) 417-0009​totalcommercial.com
​tenantbase.com","david.sink@colliers.com / zachary.zakas@colliers.com​totalcommercial.com
​tenantbase.com","545 E York St, Savannah, GA 31401​savannahchamber.com",colliers.com/Savannah​savannahchamber.com
Georgia-Pacific Scalehouse,"(Port of Savannah) Savannah, GA 31415",N/A,gp.com​yellowpages.com,Georgia-Pacific (Owner-Managed)​yellowpages.com,(404) 652-4000​georgia-pacific.pissedconsumer.com,N/A,"133 Peachtree St NE, Atlanta, GA 30303​georgiapower.com",N/A (owner-occupied),N/A,N/A,N/A,N/A
Ozburn Hessey Logistics LLC,"2385 Tremont Rd, Savannah, GA 31405​mapquest.com",(912) 232-6125​mapquest.com,ohl.com​mapquest.com,Savannah Industrial Properties LLC (Owner)​city-data.com,N/A,N/A,"PO Box 3524, Spartanburg, SC 29304​pa.gov",William Lattimore (CBRE)​cbre.com,(912) 596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"144 Habersham St, Suite 100, Savannah, GA 31401​cbre.com",cbre.com​savannahchamber.com
Lineage (Cold Storage Warehouse),"2375 Tremont Rd, Savannah, GA 31405​onelineage.com",(912) 521-6500​onelineage.com,lineage.com​onelineage.com,Brookwood Capital Partners (Lindsay Sewell)​savannahga.gov,(919) 239-4667​savannahga.gov,lindsay@brookwoodcp.com​savannahga.gov,"400 W North St, Suite 112, Raleigh, NC 27603​savannahga.gov",N/A (fully leased to Lineage),N/A,N/A,N/A,N/A
Epoch Everlasting Play LLC,"2367B Tremont Rd, Savannah, GA 31405",1-800-631-1272​calicocritters.com,EpochEverlastingPlay.com​calicocritters.com,"H&M Property Management LLC​savannahga.gov
​savannahga.gov","(706) 489-0839​savannahga.gov
​savannahga.gov",craig@czsgrp.com​savannahga.gov,"2100 Torrence Chapel Rd, Cornelius, NC 28031​savannahga.gov
​savannahga.gov",William Lattimore (CBRE)​riverportcommerce.com,(912) 596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton St, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.com
Interglass,"2367A Tremont Rd, Suite 100, Savannah, GA 31405",(305) 885-4442​waze.com,interglassusa.com​waze.com,"H&M Property Management LLC​savannahga.gov
​savannahga.gov","(706) 489-0839​savannahga.gov
​savannahga.gov",craig@czsgrp.com​savannahga.gov,"2100 Torrence Chapel Rd, Cornelius, NC 28031​savannahga.gov
​savannahga.gov",William Lattimore (CBRE)​riverportcommerce.com,(912) 596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton St, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.com
Amazon XLDS HSA1,"2367 Tremont Rd, Savannah, GA 31405",N/A (not public),Amazon.com​savannahchamber.com,"H&M Property Management LLC​savannahga.gov
​savannahga.gov","(706) 489-0839​savannahga.gov
​savannahga.gov",craig@czsgrp.com​savannahga.gov,"2100 Torrence Chapel Rd, Cornelius, NC 28031​savannahga.gov
​savannahga.gov",William Lattimore (CBRE)​riverportcommerce.com,(912) 596-7019​riverportcommerce.com,william.lattimore@cbre.com​riverportcommerce.com,"300 Drayton St, Suite 100, Savannah, GA 31401​riverportcommerce.com",cbre.com
National Refrigeration (DC 109),"2385 Tremont Rd, Savannah, GA 31405",N/A,N/A,CenterPoint Properties​centerpoint.com,(630) 586-8000​centerpoint.com,dnenner@centerpoint.com​cubfilestorage.blob.core.windows.net,"1808 Swift Dr, Suite A, Oak Brook, IL 60523​centerpoint.com",N/A,N/A,N/A,N/A,N/A
"International Forest Co., Inc.","40 Sonny Perdue Dr, Savannah, GA 31408",N/A,N/A,CenterPoint Properties​centerpoint.com,(630) 586-8000​centerpoint.com,dnenner@centerpoint.com​cubfilestorage.blob.core.windows.net,"1808 Swift Dr, Suite A, Oak Brook, IL 60523​centerpoint.com",N/A,N/A,N/A,N/A,N/A
DOLE Packaged Foods,"101 Clyde Alexander Way, Pooler, GA 31322​buzzfile.com",(909) 433-3131​buzzfile.com,www.dolesunshine.com&#8203;:contentReference[oaicite:2]{index=2},Granite Real Estate Investment Trust (Granite REIT),=+1 (469) 965-3326​granitereit.com,N/A,"3102 Oak Lawn Ave., Ste 540, Dallas, TX 75219​granitereit.com","Jon Sorg (Granite REIT)​granitereit.com
​granitereit.com",#ERROR!,N/A,"3102 Oak Lawn Ave., Ste 540, Dallas, TX 75219​granitereit.com",granitereit.com​granitereit.com
Best Choice Products,"100 Clyde Alexander Way, Pooler, GA 31322​osha.gov",(909) 948-8409​waze.com,www.bestchoiceproducts.com&#8203;:contentReference[oaicite:12]{index=12},Granite Real Estate Investment Trust (Granite REIT)​bizjournals.com,=+1 (469) 965-3326​granitereit.com,N/A,"3102 Oak Lawn Ave., Ste 540, Dallas, TX 75219​granitereit.com","Jon Sorg (Granite REIT)​granitereit.com
​granitereit.com",#ERROR!,N/A,"3102 Oak Lawn Ave., Ste 540, Dallas, TX 75219​granitereit.com",granitereit.com​granitereit.com
"Ocean Link, Inc.","5250 Old Louisville Rd, Pooler, GA 31322​mapquest.com",(912) 330-7222​yellowpages.com,www.ocean-link.info&#8203;:contentReference[oaicite:23]{index=23},N/A,N/A,N/A,N/A,"David Sink (Colliers International)​commercialsearch.com
​totalcommercial.com",(912) 662-8010​totalcommercial.com,david.sink@colliers.com​totalcommercial.com,"545 E. York St., Savannah, GA 31401​totalcommercial.com",colliers.com​savannahgatewayindustrialhub.com
